smiles,martini_bead,dg_wo_aa,dg_wo_cg,apka,bpka,acidity,log_perm_coeff,n_atoms
NC1(CC1)C(F)C#C,SP1_Na,-0.439,-0.055,NOT,8.61,B,-3.744,8
CC(C#C)C1(O)CC1,C5_SP1,-0.837,-1.116,17.95,-1.51,B,-0.522,8
NC(C#C)C1(O)CC1,P2_SP1,0.975,1.46,14.17,8.71,B,-5.129,8
OC(C#C)C1(O)CC1,P2_SP1,1.222,1.46,12.48,-3.34,A,-3.821,8
OC1(CC1)C(F)C#C,SP1_Na,-0.398,-0.055,13.44,-3.48,A,-2.535,8
CC(C#C)C1(F)CC1,C5_SNa,-2.375,-2.251,NOT,NOT,N,-0.062,8
NC(C#C)C1(F)CC1,P2_SNa,-0.192,0.325,NOT,8.04,B,-3.876,8
OC(C#C)C1(F)CC1,P2_SNa,-0.288,0.325,12.21,-4.02,A,-3.237,8
FC(C#C)C1(F)CC1,Na_SNa,-1.949,-1.19,17.99,NOT,N,-2.22,8
CC(C#C)C1(C)CN1,C5_SP1,-0.343,-1.116,NOT,7.50,B,-0.599,8
CC1(CN1)C(N)C#C,SP1_P2,1.455,1.46,NOT,8.47,B,-4.89,8
CC1(CN1)C(O)C#C,SP1_P2,1.62,1.46,12.85,6.59,B,-3.821,8
CC1(CN1)C(F)C#C,SP1_Na,-0.096,-0.055,NOT,5.59,B,-2.535,8
CC(C#C)C1(C)CO1,C5_SNa,-1.826,-2.251,NOT,-4.21,N,-0.062,8
CC1(CO1)C(N)C#C,SNa_P2,0.631,0.325,NOT,8.54,B,-4.376,8
CC1(CO1)C(O)C#C,SNa_P2,0.288,0.325,12.43,-3.92,A,-3.237,8
CC1(CO1)C(F)C#C,SNa_Na,-1.441,-1.19,18.76,-4.23,N,-2.22,8
CCCCC1(C)CC1,C1_SC5,-5.765,-5.05,NOT,NOT,N,0.461,8
CC1(CCCN)CC1,SC5_Nd,-2.182,-2.251,NOT,10.20,B,-2.686,8
CC1(CCCO)CC1,SC4_P1,-2.526,-1.883,16.76,-2.03,N,-0.063,8
CC1(CCCF)CC1,SC4_C5,-3.747,-4.08,NOT,NOT,N,0.45,8
CCCCC1(N)CC1,C1_SP1,-2.251,-2.854,NOT,10.30,B,-1.261,8
NCCCC1(N)CC1,Nd_SP1,0.59,-0.055,NOT,10.55,B,-5.756,8
NC1(CCCO)CC1,SP1_Nda,0.426,-0.055,15.97,9.99,B,-5.295,8
NC1(CCCF)CC1,SNd_C5,-0.673,-2.251,NOT,10.29,B,-2.775,8
CCCCC1(O)CC1,C3_SNda,-2.567,-3.525,17.93,-1.52,B,0.439,8
NCCCC1(O)CC1,Nd_SP1,0.384,-0.055,15.16,9.90,B,-5.121,8
OCCCC1(O)CC1,Nda_SP1,0.329,-0.055,15.10,-2.37,A,-2.726,8
OC1(CCCF)CC1,SNda_C5,-0.865,-2.251,15.16,-2.73,A,0.047,8
CCCCC1(F)CC1,C3_SC5,-4.159,-4.587,NOT,NOT,N,0.477,8
NCCCC1(F)CC1,P1_SC5,-0.645,-1.116,NOT,10.20,B,-3.268,8
OCCCC1(F)CC1,Nda_SNa,-0.961,-1.19,15.97,-2.37,A,-1.991,8
FCCCC1(F)CC1,C5_SC5,-2.182,-3.313,NOT,NOT,N,0.641,8
CNCCC1(C)CC1,Nd_SC5,-2.086,-2.251,NOT,10.53,B,-3.01,8
CNCCC1(N)CC1,Nd_SP1,0.769,-0.055,NOT,10.37,B,-5.582,8
CNCCC1(O)CC1,P1_SNda,0.398,-0.055,15.12,10.02,B,-5.325,8
CNCCC1(F)CC1,Nd_SNa,-0.247,-1.19,NOT,10.16,B,-4.634,8
COCCC1(C)CC1,Na_SC5,-2.622,-2.251,NOT,-4.10,N,-0.062,8
COCCC1(N)CC1,Na_SP1,0.137,-0.055,NOT,10.23,B,-5.346,8
COCCC1(O)CC1,Na_SP1,-0.055,-0.055,15.09,-2.76,A,-2.535,8
COCCC1(F)CC1,Na_SNa,-1.798,-1.19,NOT,-4.10,N,-2.22,8
CCNCC1(C)CC1,Nd_SC5,-1.839,-2.251,NOT,10.54,B,-3.02,8
CCNCC1(N)CC1,Nd_SP1,0.522,-0.055,NOT,10.26,B,-5.475,8
CCNCC1(O)CC1,Nd_SP1,0.247,-0.055,14.80,10.03,B,-5.249,8
CCNCC1(F)CC1,Nd_SNa,-0.467,-1.19,NOT,9.07,B,-3.551,8
CCOCC1(C)CC1,Na_SC5,-2.992,-2.251,NOT,-4.12,N,-0.062,8
CCOCC1(N)CC1,Na_SP1,-0.233,-0.055,NOT,9.56,B,-4.689,8
CCOCC1(O)CC1,Na_SP1,-0.275,-0.055,14.38,-3.07,A,-2.535,8
CCOCC1(F)CC1,Na_SNa,-1.222,-1.19,NOT,-4.14,N,-2.22,8
CCCNC1(C)CC1,Nd_SC5,-2.21,-2.251,NOT,10.41,B,-2.893,8
CC1(CC1)NCCN,SNd_P1,0.535,-0.055,NOT,9.95,B,-5.17,8
CC1(CC1)NCCO,SNd_P1,0.096,-0.055,15.60,9.65,B,-4.874,8
CC1(CC1)NCCF,SC5_P2,-1.002,-0.736,NOT,8.68,B,-2.359,8
CCCOC1(C)CC1,Na_SC5,-2.718,-2.251,NOT,-4.16,N,-0.062,8
CC1(CC1)OCCN,SNa_P1,-0.041,-0.055,NOT,9.45,B,-4.58,8
CC1(CC1)OCCO,SC5_P3,-0.178,0.449,15.12,-2.75,A,-2.006,8
CC1(CC1)OCCF,SC5_P2,-1.647,-0.736,NOT,-4.18,N,-1.086,8
COCOC1(C)CC1,P1_SNa,-0.741,-0.055,NOT,-4.01,N,-2.535,8
CCCCC1(C)CN1,C1_SP1,-2.416,-2.854,NOT,7.94,B,0.553,8
CC1(CCCN)CN1,SP1_Nd,0.535,-0.055,NOT,10.21,B,-5.426,8
CC1(CCCO)CN1,SP1_Nda,0.124,-0.055,15.97,7.64,B,-2.965,8
CC1(CCCF)CN1,SNd_C5,-0.892,-2.251,NOT,7.94,B,-0.455,8
CNCCC1(C)CN1,Nd_SP1,0.659,-0.055,NOT,10.16,B,-5.377,8
COCCC1(C)CN1,Na_SP1,-0.027,-0.055,NOT,7.70,B,-2.835,8
CCNCC1(C)CN1,Nd_SP1,0.549,-0.055,NOT,9.74,B,-4.963,8
CCOCC1(C)CN1,Na_SP1,-0.261,-0.055,NOT,7.00,B,-2.535,8
CCCCC1(C)CO1,C1_SNa,-3.02,-3.989,NOT,-4.20,N,0.516,8
CC1(CCCN)CO1,SNa_Nd,-0.082,-1.19,NOT,10.20,B,-4.673,8
CC1(CCCO)CO1,SNa_Nda,-0.192,-1.19,15.97,-2.37,A,-1.991,8
CC1(CCCF)CO1,SNa_C5,-1.606,-2.251,NOT,-4.20,N,-0.062,8
CNCCC1(C)CO1,P1_SNa,-0.22,-0.055,NOT,10.31,B,-5.423,8
COCCC1(C)CO1,Na_SNa,-0.618,-1.19,NOT,-3.85,N,-2.22,8
CCNCC1(C)CO1,Nd_SNa,-0.247,-1.19,NOT,9.84,B,-4.317,8
CCOCC1(C)CO1,Na_SNa,-0.796,-1.19,NOT,-3.88,N,-2.22,8
CC1(CCC=C)CC1,SC5_C3,-5.175,-4.587,NOT,NOT,N,0.477,8
CC1(CCC=O)CC1,SC4_Na,-2.581,-3.019,17.76,-6.94,N,0.336,8
CC1(CCC#N)CC1,SC5_P1,-2.979,-1.116,NOT,NOT,N,-0.522,8
NC1(CCC=C)CC1,SP1_C3,-1.798,-2.39,NOT,10.29,B,-2.193,8
OC1(CCC=C)CC1,SP1_C3,-2.004,-2.39,18.05,-1.46,B,0.285,8
OC1(CCC=O)CC1,SNda_Na,0.041,-1.19,15.14,-2.73,A,-1.991,8
OC1(CCC#N)CC1,SNda_P1,-0.453,-0.055,15.13,-2.74,A,-2.726,8
FC1(CCC=C)CC1,SNa_C3,-3.445,-3.525,NOT,NOT,N,0.446,8
FC1(CCC=O)CC1,SC5_Na,-0.92,-2.251,16.67,-6.95,N,-0.062,8
FC1(CCC#N)CC1,SC5_P1,-1.235,-1.116,NOT,NOT,N,-0.522,8
CC1(CC1)CNC=N,SC5_P3,-0.22,0.449,NOT,11.89,B,-6.005,8
CC1(CC1)CNC=O,SC5_P3,-0.398,0.449,16.47,-0.82,B,-2.006,8
NC1(CC1)CNC=N,SP1_P3,2.018,2.646,NOT,11.59,B,-8.488,8
