smiles,martini_bead,dg_wo_aa,dg_wo_cg,apka,bpka,acidity,log_perm_coeff,n_atoms
Fc1cnn(C=O)c1,SNa_SP1,0.247,-0.055,NOT,-2.36,N,-2.535,8
Cc1cnn(c1)N=C,SN0_SP1,-0.178,-0.468,NOT,5.73,B,-1.533,8
Nc1cnn(c1)N=C,SP1_SP1,0.7,1.08,NOT,6.26,B,-3.133,8
Oc1cnn(c1)N=C,SP1_SP1,0.659,1.08,4.30,6.53,A,-6.231,8
Fc1cnn(c1)N=C,SNa_SP1,-0.275,-0.055,NOT,5.43,B,-2.535,8
Cc1cn(C=N)nn1,SP1_SP2,0.92,1.46,NOT,4.72,B,-3.821,8
Cc1cn(C=O)nn1,SP1_SP2,0.206,1.46,NOT,-0.68,B,-3.821,8
Nc1cn(C=C)nn1,SP2_SP1,0.851,1.46,17.75,-0.80,B,-3.821,8
Nc1cn(C=N)nn1,SP2_SP2,1.853,1.84,17.62,6.21,B,-4.307,8
Nc1cn(C=O)nn1,SP2_SP2,1.153,1.84,16.61,-2.19,N,-4.307,8
Oc1cn(C=C)nn1,SP2_SP1,0.604,1.46,3.63,-1.40,A,-7.554,8
Oc1cn(C=N)nn1,SP2_SP2,1.62,1.84,3.88,3.55,A,-7.808,8
Oc1cn(C=O)nn1,SP2_SP2,0.933,1.84,2.76,-3.46,A,-8.813,8
Fc1cn(C=C)nn1,SP1_SP1,-0.041,1.08,NOT,-1.61,B,-3.133,8
Fc1cn(C=N)nn1,SP1_SP2,0.7,1.46,NOT,2.66,B,-3.821,8
Fc1cn(C=O)nn1,SP1_SP2,0.302,1.46,NOT,-3.81,N,-3.821,8
Cc1cn(N=C)nn1,SP1_SP1,0.357,1.08,NOT,4.64,B,-3.133,8
Nc1cn(N=C)nn1,SP2_SP1,1.277,1.46,16.91,5.21,B,-3.821,8
Oc1cn(N=C)nn1,SP2_SP1,0.686,1.46,4.56,3.15,A,-6.656,8
Fc1cn(N=C)nn1,SP1_SP1,-0.055,1.08,NOT,4.26,B,-3.133,8
Cc1ccn(C=C)n1,SN0_SNa,-0.975,-1.604,NOT,2.64,B,-1.176,8
Cc1ccn(C=N)n1,SN0_SP1,-0.014,-0.468,NOT,6.08,B,-1.533,8
Cc1ccn(C=O)n1,SN0_SP1,-0.192,-0.468,NOT,0.10,B,-1.534,8
Fc1ccn(C=C)n1,SNa_SNa,-1.222,-1.19,NOT,-0.76,B,-2.22,8
Fc1ccn(C=N)n1,SNa_SP1,-0.247,-0.055,NOT,5.09,B,-2.535,8
Fc1ccn(C=O)n1,SNa_SP1,-0.22,-0.055,NOT,-3.38,N,-2.535,8
Cc1ccn(N=C)n1,SN0_SP1,-0.384,-0.468,NOT,5.78,B,-1.533,8
Fc1ccn(N=C)n1,SNa_SP1,-0.975,-0.055,NOT,5.47,B,-2.535,8
Cc1ncn(C=C)n1,SP1_SNa,0.165,-0.055,NOT,1.61,B,-2.535,8
Cc1ncn(C=N)n1,SP1_SP2,1.071,1.46,NOT,3.74,B,-3.821,8
Cc1ncn(C=O)n1,SP1_SP2,0.618,1.46,NOT,-1.78,B,-3.821,8
Nc1ncn(C=C)n1,SP2_SNa,0.631,0.325,15.19,1.70,B,-3.237,8
Nc1ncn(C=N)n1,SP2_SP2,1.606,1.84,15.12,4.39,B,-4.307,8
Nc1ncn(C=O)n1,SP2_SP2,2.032,1.84,14.46,-1.66,A,-4.307,8
Oc1ncn(C=C)n1,SP2_SNa,0.247,0.325,6.81,-1.74,A,-3.827,8
Oc1ncn(C=N)n1,SP2_SP2,1.606,1.84,6.74,3.32,A,-4.967,8
Oc1ncn(C=O)n1,SP2_SP2,1.167,1.84,6.03,-4.72,A,-5.677,8
Cc1ncn(N=C)n1,SP1_SP2,0.577,1.46,NOT,4.78,B,-3.821,8
Nc1ncn(N=C)n1,SP2_SP2,1.359,1.84,14.68,5.36,B,-4.307,8
Oc1ncn(N=C)n1,SP2_SP2,0.577,1.84,6.37,4.75,A,-5.337,8
Cc1cnn(C=C)n1,SP1_SNa,0.055,-0.055,NOT,0.19,B,-2.535,8
Cc1cnn(C=N)n1,SP1_SP2,0.947,1.46,NOT,3.14,B,-3.821,8
Cc1cnn(C=O)n1,SP1_SP2,0.535,1.46,NOT,-2.34,N,-3.821,8
Fc1cnn(C=C)n1,SP1_SNa,-0.631,-0.055,NOT,-2.52,N,-2.535,8
Fc1cnn(C=N)n1,SP1_SP2,0.59,1.46,NOT,2.72,B,-3.821,8
Fc1cnn(C=O)n1,SP1_SP2,0.178,1.46,NOT,-4.91,N,-3.821,8
Cc1nnn(C=C)n1,SP1_SP1,0.247,1.08,NOT,-1.85,B,-3.133,8
Cc1nnn(C=N)n1,SP1_SP2,1.373,1.46,NOT,2.29,B,-3.821,8
Cc1nnn(C=O)n1,SP1_SP2,0.659,1.46,NOT,-3.77,N,-3.821,8
Nc1nnn(C=C)n1,SP2_SP1,0.933,1.46,13.03,-1.47,A,-3.821,8
Nc1nnn(C=N)n1,SP2_SP2,2.169,1.84,12.94,3.06,B,-4.307,8
Nc1nnn(C=O)n1,SP2_SP2,1.345,1.84,12.12,-4.08,A,-4.307,8
Oc1nnn(C=C)n1,SP1_SP1,0.92,1.08,1.50,-2.70,A,-8.697,8
Oc1nnn(C=N)n1,SP1_SP2,2.594,1.46,2.25,1.42,A,-8.66,8
Oc1nnn(C=O)n1,SP1_SP2,1.455,1.46,0.71,-4.90,A,-9.071,8
CC1=CC(C=C1)C#C,SC5_SN0,-2.484,-2.665,14.06,NOT,A,0.516,8
FC1=CC(C=C1)C#C,SC5_SN0,-2.114,-2.665,12.68,NOT,A,0.516,8
CC=C1C=CC(C)=C1,SC4_SC5,-4.763,-4.08,NOT,NOT,N,0.45,8
CC1=CC(=CF)C=C1,SC5_SC5,-3.514,-3.313,NOT,NOT,N,0.641,8
CC=C1C=CC(F)=C1,SC4_SC5,-3.981,-4.08,NOT,NOT,N,0.45,8
FC=C1C=CC(F)=C1,SC5_SC5,-2.924,-3.313,NOT,NOT,N,0.641,8
CC1=CC(C=C1)=NN,SC5_SNd,-1.743,-2.251,NOT,4.66,B,0.024,8
CC1=CC(C=C1)=NO,SC5_SNda,-1.62,-2.251,9.68,3.57,A,0.047,8
NN=C1C=CC(N)=C1,SNd_SNd,0.494,-1.19,NOT,7.43,B,-2.186,8
NC1=CC(C=C1)=NO,SNd_SNda,0.522,-1.19,9.72,5.07,A,-1.916,8
NN=C1C=CC(F)=C1,SNd_SC5,-1.743,-2.251,NOT,3.27,B,0.024,8
ON=C1C=CC(F)=C1,SNda_SC5,-1.757,-2.251,7.96,-2.16,A,0.067,8
CC1=CC(C=N1)=NN,SN0_SNd,-0.7,-1.604,19.01,8.03,B,-1.669,8
Cc1cc(c[nH]1)N=O,SNd_SN0,-1.455,-1.604,13.15,1.32,A,-1.044,8
Nc1cc(c[nH]1)N=N,SP1_SP1,0.659,1.08,15.25,3.72,B,-3.133,8
Nc1cc(c[nH]1)N=O,SP1_SN0,0.027,-0.468,13.23,2.92,B,-1.534,8
CN=C1C=C(C)C=N1,SN0_SN0,-1.702,-2.017,NOT,5.41,B,-0.046,8
Cc1c[nH]c(c1)N=N,SN0_SP1,-0.014,-0.468,16.39,3.47,B,-1.534,8
Cc1c[nH]c(c1)N=O,SN0_SNd,-1.455,-1.604,12.36,3.08,B,-1.044,8
CN=C1C=C(N)C=N1,SN0_SP1,0.082,-0.468,NOT,7.93,B,-2.061,8
Nc1c[nH]c(c1)N=N,SP1_SP1,0.631,1.08,18.20,3.29,B,-3.133,8
Nc1c[nH]c(c1)N=O,SP1_SNd,0.041,-0.055,14.16,2.88,B,-2.629,8
CN=C1C=C(F)C=N1,SN0_SNa,-1.139,-1.604,NOT,3.32,B,-1.176,8
Fc1c[nH]c(c1)N=N,SNa_SP1,0.069,-0.055,13.26,1.79,B,-2.535,8
Fc1c[nH]c(c1)N=O,SNa_SNd,-1.414,-1.19,9.23,2.17,A,-1.882,8
CN=C1C=CC(C)=N1,SN0_SN0,-1.675,-2.017,NOT,5.36,B,-0.047,8
Cc1ccc(N=N)[nH]1,SN0_SP1,-0.027,-0.468,15.59,3.47,B,-1.534,8
Cc1ccc(N=O)[nH]1,SN0_SNd,-1.469,-1.604,11.60,3.57,B,-1.044,8
CN=C1C=NC(C)=N1,SP1_SN0,-0.165,-0.468,NOT,3.27,B,-1.534,8
Cc1nc(c[nH]1)N=N,SNd_SP2,0.549,0.325,11.51,3.74,B,-3.155,8
Cc1nc(c[nH]1)N=O,SNd_SP1,-0.796,-0.055,9.57,3.12,A,-2.629,8
CN=C1N=CC(C)=N1,SP1_SN0,-0.151,-0.468,NOT,1.91,B,-1.534,8
CC1=NC(=NN)N=C1,SN0_SP1,0.645,-0.468,18.75,3.09,B,-1.534,8
CC1=NC(=NO)N=C1,SN0_SP1,0.398,-0.468,8.28,3.84,A,-1.533,8
CCC1=CCC(C)=C1,SC3_SC5,-5.134,-4.587,15.21,NOT,A,0.477,8
CC1=CC(CN)=CC1,SC5_SNd,-1.194,-2.251,15.11,9.61,B,-2.103,8
CC1=CC(CO)=CC1,SC5_SNda,-1.469,-2.251,15.01,-2.05,A,0.047,8
CC1=CC(CF)=CC1,SC5_SC5,-3.157,-3.313,14.97,NOT,A,0.641,8
CCC1=CCC(F)=C1,SC3_SC5,-3.885,-4.587,13.43,NOT,A,0.477,8
NCC1=CCC(F)=C1,SNd_SC5,-0.371,-2.251,13.32,9.60,B,-2.093,8
OCC1=CCC(F)=C1,SNda_SC5,-0.961,-2.251,13.22,-2.75,A,0.047,8
FCC1=CCC(F)=C1,SC5_SC5,-2.361,-3.313,13.19,NOT,A,0.641,8
COC1=CCC(C)=C1,SNa_SC5,-3.171,-2.251,14.89,-4.77,A,-0.062,8
COC1=CCC(F)=C1,SNa_SC5,-2.114,-2.251,13.13,-4.79,A,-0.062,8
CCc1c[nH]c(C)c1,SC5_SNd,-3.088,-2.251,18.10,NOT,N,0.024,8
Cc1cc(CO)c[nH]1,SNd_SNda,-1.057,-1.19,15.09,-2.76,A,-1.916,8
Cc1cc(CF)c[nH]1,SNd_SNa,-1.949,-1.19,17.51,NOT,N,-1.883,8
CCc1c[nH]c(N)c1,SC5_SP1,-1.277,-1.116,18.11,4.51,B,-0.522,8
NCc1c[nH]c(N)c1,SP1_SP1,1.18,1.08,17.81,9.51,B,-5.24,8
Nc1cc(CO)c[nH]1,SP1_SNda,0.563,-0.055,15.18,4.27,B,-2.726,8
Nc1cc(CF)c[nH]1,SP1_SNa,-0.563,-0.055,17.56,4.25,B,-2.535,8
CCc1c[nH]c(O)c1,SC5_SNda,-1.565,-2.251,9.17,-8.54,A,0.049,8
NCc1c[nH]c(O)c1,SP1_SNda,1.551,-0.055,9.04,8.96,B,-4.282,8
OCc1c[nH]c(O)c1,SNda_SNda,0.316,-1.19,8.99,-2.81,A,-2.065,8
Oc1cc(CF)c[nH]1,SNda_SNa,-0.604,-1.19,8.97,-8.55,A,-1.991,8
CCc1c[nH]c(F)c1,SC5_SNda,-2.745,-2.251,14.19,NOT,A,0.047,8
NCc1c[nH]c(F)c1,SP1_SNda,-0.027,-0.055,12.81,9.13,B,-4.451,8
OCc1c[nH]c(F)c1,SNda_SNda,-0.618,-1.19,12.64,-2.86,A,-2.065,8
FCc1c[nH]c(F)c1,SNa_SNda,-2.141,-1.19,12.57,NOT,A,-1.991,8
CNc1c[nH]c(C)c1,SNd_SNd,-1.441,-1.19,18.46,1.68,B,-2.114,8
CNc1c[nH]c(N)c1,SNd_SP1,-0.412,-0.055,18.47,4.19,B,-2.629,8
CNc1c[nH]c(O)c1,SNd_SNda,-1.208,-1.19,9.00,0.86,A,-1.916,8
CNc1c[nH]c(F)c1,SNd_SNda,-2.182,-1.19,16.01,0.30,B,-1.916,8
COc1c[nH]c(C)c1,SNa_SNd,-1.62,-1.19,17.65,-4.86,N,-1.883,8
COc1c[nH]c(N)c1,SNa_SP1,0.137,-0.055,17.69,3.50,B,-2.535,8
COc1c[nH]c(O)c1,SNa_SNda,-0.055,-1.19,8.81,-4.87,A,-1.991,8
COc1c[nH]c(F)c1,SNa_SNda,-1.565,-1.19,12.77,-4.88,A,-1.991,8
CCc1coc(C)c1,SC4_SC5,-4.022,-4.08,NOT,-2.71,N,0.45,8
Cc1cc(CN)co1,SC5_SNd,-0.727,-2.251,NOT,8.75,B,-1.249,8
Cc1cc(CO)co1,SC5_SNda,-0.81,-2.251,14.48,-2.82,A,0.047,8
Cc1cc(CF)co1,SC5_SC5,-2.635,-3.313,NOT,-2.82,N,0.641,8
CCc1coc(N)c1,SC4_SNd,-2.224,-3.019,19.87,-2.65,N,0.317,8
NCc1coc(N)c1,SNd_SNd,0.604,-1.19,19.58,8.81,B,-3.523,8
Nc1cc(CO)co1,SNd_SNda,0.48,-1.19,14.54,-2.76,A,-1.916,8
Nc1cc(CF)co1,SNd_SC5,-0.769,-2.251,19.47,-2.76,N,0.024,8
CCc1coc(O)c1,SC4_SNda,-2.567,-3.019,6.74,-2.85,A,0.026,8
NCc1coc(O)c1,SNd_SNda,0.343,-1.19,6.25,8.60,Z,-4.266,8
OCc1coc(O)c1,SNda_SNda,0.069,-1.19,6.50,-2.96,A,-2.964,8
Oc1cc(CF)co1,SNda_SC5,-1.029,-2.251,6.48,-2.97,A,-0.806,8
CCc1coc(F)c1,SC4_SNa,-3.555,-3.019,NOT,-2.96,N,0.336,8
NCc1coc(F)c1,SNd_SNa,-0.467,-1.19,NOT,8.50,B,-2.982,8
OCc1coc(F)c1,SNda_SNa,-0.618,-1.19,14.19,-3.08,A,-1.991,8
FCc1coc(F)c1,SC5_SNa,-2.073,-2.251,NOT,-3.08,N,-0.062,8
CNc1coc(C)c1,SNd_SC5,-2.237,-2.251,NOT,-1.69,B,0.024,8
CNc1coc(N)c1,SNd_SNd,-0.288,-1.19,19.62,-1.67,B,-2.114,8
CNc1coc(O)c1,SNd_SNda,-1.208,-1.19,6.69,-2.40,A,-2.626,8
CNc1coc(F)c1,SNd_SNa,-2.059,-1.19,NOT,-2.65,N,-1.883,8
COc1coc(C)c1,SNa_SC5,-2.416,-2.251,NOT,-2.72,N,-0.062,8
COc1coc(N)c1,SNa_SNd,-0.577,-1.19,18.70,-2.66,N,-1.883,8
COc1coc(O)c1,SNa_SNda,-1.688,-1.19,6.43,-2.86,A,-2.96,8
COc1coc(F)c1,SNa_SNa,-1.839,-1.19,NOT,-2.96,N,-2.22,8
CCc1cc(C)[nH]n1,SNda_SNd,-2.155,-1.19,15.34,3.91,B,-1.916,8
Cc1cc(CN)[nH]n1,SNda_SP2,0.631,0.325,14.62,8.56,B,-4.472,8
Cc1cc(CO)n[nH]1,SNd_SP1,0.069,-0.055,13.98,2.39,B,-2.629,8
Cc1cc(CF)[nH]n1,SNda_SNda,-1.29,-1.19,14.22,3.37,B,-2.065,8
CCc1cc(N)[nH]n1,SNda_SP1,-0.727,-0.055,14.71,4.89,B,-2.726,8
NCc1cc(N)[nH]n1,SP2_SP1,1.441,1.46,13.85,8.22,B,-4.64,8
Nc1cc(CO)[nH]n1,SP1_SP1,1.084,1.08,14.37,4.18,B,-3.133,8
Nc1cc(CF)[nH]n1,SP1_SNda,0.041,-0.055,15.14,4.16,B,-2.726,8
CCc1cc(O)n[nH]1,SNd_SP1,-1.029,-0.055,6.39,2.10,A,-3.639,8
NCc1cc(O)[nH]n1,SP2_SP1,1.881,1.46,2.60,7.96,Z,-9.178,8
OCc1cc(O)[nH]n1,SP1_SP1,1.235,1.08,2.74,2.10,A,-7.739,8
Oc1cc(CF)n[nH]1,SP1_SNda,-0.302,-0.055,2.72,2.01,A,-7.319,8
CCc1cc(F)[nH]n1,SNda_SNda,-2.141,-1.19,8.72,3.00,A,-2.065,8
NCc1cc(F)n[nH]1,SP2_SNda,0.727,0.325,11.97,8.35,B,-4.263,8
OCc1cc(F)n[nH]1,SP1_SNda,0.014,-0.055,11.32,-0.02,A,-2.726,8
FCc1cc(F)[nH]n1,SNda_SNda,-1.277,-1.19,7.70,1.37,A,-2.065,8
COc1cc(C)[nH]n1,SNda_SNd,-0.947,-1.19,14.61,2.05,B,-1.916,8
COc1cc(N)[nH]n1,SNda_SP1,0.343,-0.055,13.98,3.02,B,-2.726,8
COc1cc(O)[nH]n1,SNda_SP1,0.041,-0.055,2.59,1.74,A,-7.43,8
COc1cc(F)[nH]n1,SNda_SNda,-1.043,-1.19,8.00,1.10,A,-2.065,8
CCc1cc(C)on1,SC5_SN0,-2.43,-2.665,NOT,1.61,B,0.516,8
Cc1cc(CN)no1,SN0_SP1,0.206,-0.468,NOT,7.93,B,-2.061,8
Cc1cc(CO)no1,SN0_SNda,-0.59,-1.604,13.77,-0.26,A,-1.133,8
Cc1cc(CF)no1,SN0_SNa,-1.771,-1.604,NOT,-0.38,B,-1.176,8
CCc1cc(=N)o[nH]1,SC5_SP2,0.247,-0.736,10.04,9.15,B,-2.826,8
NCc1cc(=N)o[nH]1,SP1_SP2,2.69,1.46,9.73,9.33,B,-5.744,8
OCc1cc(=N)o[nH]1,SNda_SP2,2.855,0.325,9.44,8.59,B,-4.502,8
FCc1cc(=N)o[nH]1,SNda_SP2,1.277,0.325,9.31,8.15,B,-4.063,8
CCc1cc(O)on1,SC5_SNda,-1.606,-2.251,3.35,0.96,A,-3.91,8
NCc1cc(O)on1,SP1_SNda,1.345,-0.055,2.89,7.68,Z,-7.515,8
OCc1cc(O)on1,SNda_SNda,0.165,-1.19,3.01,-0.95,A,-6.437,8
Oc1cc(CF)no1,SNda_SNa,-0.659,-1.19,2.99,-1.07,A,-6.383,8
CCc1cc(F)on1,SC5_SNa,-2.498,-2.251,NOT,0.06,B,-0.062,8
NCc1cc(F)on1,SP1_SNa,0.275,-0.055,NOT,7.74,B,-2.875,8
OCc1cc(F)on1,SNda_SNa,-0.48,-1.19,13.52,-1.86,A,-1.991,8
FCc1cc(F)on1,SNa_SNa,-1.784,-1.19,NOT,-1.97,B,-2.22,8
COc1cc(C)on1,SNa_SN0,-1.29,-1.604,NOT,-0.88,B,-1.176,8
COc1cc(N)on1,SNa_SP1,-0.48,-0.055,15.17,0.32,B,-2.535,8
COc1cc(O)on1,SNa_SNda,-0.577,-1.19,3.00,-1.51,A,-6.373,8
COc1cc(F)on1,SNa_SNa,-1.579,-1.19,18.99,-2.38,N,-2.22,8
Cc1nc(CO)c[nH]1,SNd_SP2,0.151,0.325,13.24,6.57,B,-3.155,8
CCc1c[nH]c(N)n1,SNda_SP1,-0.714,-0.055,15.18,9.14,B,-4.46,8
NCc1c[nH]c(N)n1,SP2_SP1,1.428,1.46,13.45,8.87,B,-5.288,8
Nc1nc(CO)c[nH]1,SP1_SP2,1.112,1.46,13.24,8.38,B,-4.8,8
Nc1nc(CF)c[nH]1,SP1_SNda,0.124,-0.055,13.20,8.27,B,-3.595,8
CCc1c[nH]c(O)n1,SNda_SP1,-0.975,-0.055,9.77,4.27,A,-2.726,8
NCc1c[nH]c(O)n1,SP2_SP1,1.812,1.46,9.59,8.06,B,-4.481,8
OCc1c[nH]c(O)n1,SP2_SP1,1.112,1.46,9.54,3.51,A,-3.821,8
Oc1nc(CF)c[nH]1,SP1_SNda,-0.178,-0.055,9.52,3.39,A,-2.726,8
CNc1c[nH]c(N)n1,SNda_SP1,0.535,-0.055,17.03,8.38,B,-3.704,8
CNc1c[nH]c(O)n1,SNda_SP1,-0.316,-0.055,9.62,3.47,A,-2.726,8
COc1c[nH]c(N)n1,SNda_SP1,0.371,-0.055,13.69,5.82,B,-2.726,8
COc1c[nH]c(O)n1,SNda_SP1,0.069,-0.055,9.43,0.92,A,-2.726,8
CCc1coc(C)n1,SNa_SN0,-2.292,-1.604,NOT,1.22,B,-1.176,8
Cc1nc(CN)co1,SN0_SP1,0.371,-0.468,NOT,7.91,B,-2.041,8
Cc1nc(CO)co1,SN0_SP1,-0.494,-0.468,13.75,0.46,A,-1.534,8
Cc1nc(CF)co1,SN0_SNa,-1.606,-1.604,NOT,0.34,B,-1.176,8
CCc1coc(N)n1,SNa_SP1,-1.386,-0.055,14.24,2.61,B,-2.535,8
NCc1coc(N)n1,SP1_SP1,1.029,1.08,14.05,7.96,B,-3.693,8
Nc1nc(CO)co1,SP1_SP1,0.837,1.08,13.61,1.83,B,-3.133,8
Nc1nc(CF)co1,SP1_SNa,-0.041,-0.055,14.00,1.71,B,-2.535,8
CCc1coc(O)n1,SNa_SNda,-1.579,-1.19,7.45,-2.06,A,-2.021,8
NCc1coc(O)n1,SP1_SNda,1.373,-0.055,6.93,7.83,Z,-3.626,8
OCc1coc(O)n1,SP1_SNda,0.178,-0.055,7.16,-2.70,A,-2.966,8
Oc1nc(CF)co1,SNda_SNa,-0.618,-1.19,7.14,-2.77,A,-2.251,8
CCc1coc(F)n1,SNa_SNa,-2.498,-1.19,NOT,-3.02,N,-2.22,8
NCc1coc(F)n1,SP1_SNa,0.22,-0.055,NOT,7.81,B,-2.945,8
OCc1coc(F)n1,SP1_SNa,-0.48,-0.055,13.61,-3.24,A,-2.535,8
FCc1coc(F)n1,SNa_SNa,-1.935,-1.19,NOT,-3.24,N,-2.22,8
CNc1coc(C)n1,SNda_SN0,-1.18,-1.604,18.47,0.39,B,-1.133,8
CNc1coc(N)n1,SNda_SP1,-0.137,-0.055,14.14,1.81,B,-2.726,8
CNc1coc(O)n1,SNda_SNda,-0.604,-1.19,7.44,-2.56,A,-2.101,8
CNc1coc(F)n1,SNda_SNa,-1.496,-1.19,17.05,-2.90,N,-1.991,8
COc1coc(C)n1,SNa_SN0,-1.263,-1.604,NOT,-2.09,N,-1.176,8
COc1coc(N)n1,SNa_SP1,-0.494,-0.055,13.71,-0.75,A,-2.535,8
COc1coc(O)n1,SNa_SNda,-0.563,-1.19,7.20,-3.01,A,-2.191,8
COc1coc(F)n1,SNa_SNa,-1.551,-1.19,NOT,-3.12,N,-2.22,8
Cc1n[nH]c(CO)n1,SP1_SP2,0.796,1.46,8.80,1.44,A,-3.821,8
CCc1n[nH]c(N)n1,SNda_SP2,-0.329,0.325,11.68,4.64,B,-3.314,8
NCc1n[nH]c(N)n1,SP2_SP2,1.784,1.84,9.32,7.38,B,-4.359,8
Nc1nc(CO)n[nH]1,SP2_SP2,1.51,1.84,9.20,3.81,A,-4.307,8
Nc1nc(CF)n[nH]1,SP2_SP1,0.343,1.46,9.17,3.69,A,-3.821,8
CCc1n[nH]c(O)n1,SNda_SP2,-0.233,0.325,3.64,1.17,A,-7.035,8
NCc1n[nH]c(O)n1,SP2_SP2,1.922,1.84,7.05,3.42,A,-4.657,8
OCc1n[nH]c(O)n1,SP2_SP2,1.592,1.84,3.34,-0.52,A,-8.315,8
Oc1nc(CF)n[nH]1,SP2_SP1,0.439,1.46,3.32,-0.63,A,-7.838,8
CNc1n[nH]c(N)n1,SP1_SP2,0.741,1.46,13.57,3.87,B,-3.821,8
CNc1n[nH]c(O)n1,SP1_SP2,0.11,1.46,3.53,1.89,A,-7.648,8
COc1n[nH]c(N)n1,SP1_SP2,0.549,1.46,10.67,1.20,A,-3.821,8
COc1n[nH]c(O)n1,SP1_SP2,0.522,1.46,3.29,-0.88,A,-7.865,8
CCc1noc(C)n1,SNa_SNa,-1.565,-1.19,NOT,-0.53,B,-2.22,8
Cc1nc(CN)no1,SNa_SP2,0.782,0.325,NOT,7.26,B,-3.241,8
Cc1nc(CO)no1,SNa_SP1,0.014,-0.055,13.23,-2.57,A,-2.535,8
Cc1nc(CF)no1,SNa_SNa,-0.947,-1.19,NOT,-2.67,N,-2.22,8
CCc1noc(N)n1,SNa_SP1,-0.824,-0.055,11.85,0.69,A,-2.535,8
NCc1noc(N)n1,SP2_SP1,1.386,1.46,11.49,7.27,B,-3.829,8
Nc1nc(CO)no1,SP1_SP1,0.631,1.08,11.43,-1.39,A,-3.133,8
Nc1nc(CF)no1,SP1_SNa,-0.206,-0.055,11.42,-1.51,A,-2.535,8
CCc1noc(O)n1,SNa_SP1,-1.043,-0.055,4.14,-1.12,A,-5.79,8
NCc1noc(O)n1,SP2_SP1,1.51,1.46,3.75,6.99,A,-7.442,8
OCc1noc(O)n1,SP1_SP1,0.604,1.08,3.77,-3.14,A,-6.755,8
Oc1nc(CF)no1,SP1_SNa,-0.535,-0.055,3.76,-3.20,A,-6.165,8
CCc1noc(F)n1,SNa_SNa,-2.086,-1.19,NOT,-1.99,B,-2.22,8
NCc1noc(F)n1,SP2_SNa,0.7,0.325,NOT,7.21,B,-3.237,8
OCc1noc(F)n1,SP1_SNa,-0.055,-0.055,13.14,-3.53,A,-2.535,8
FCc1noc(F)n1,SNa_SNa,-1.524,-1.19,NOT,-3.55,N,-2.22,8
CNc1noc(C)n1,SNda_SNa,-1.071,-1.19,13.47,0.23,A,-1.991,8
CNc1noc(N)n1,SNda_SP1,0.041,-0.055,11.74,1.44,A,-2.726,8
CNc1noc(O)n1,SNda_SP1,-0.494,-0.055,4.16,-0.38,A,-5.959,8
CNc1noc(F)n1,SNda_SNa,-1.386,-1.19,12.41,-1.26,A,-1.991,8
COc1noc(C)n1,SNa_SNa,-0.865,-1.19,NOT,-2.86,N,-2.22,8
COc1noc(N)n1,SNa_SP1,-0.014,-0.055,11.05,-1.90,A,-2.535,8
COc1noc(O)n1,SNa_SP1,-0.247,-0.055,3.89,-3.18,A,-6.037,8
COc1noc(F)n1,SNa_SNa,-1.373,-1.19,NOT,-3.40,N,-2.22,8
CC1=CC(C=C)=CC1,SC5_SC4,-4.324,-4.08,14.65,NOT,A,0.45,8
CC1=CC(C=O)=CC1,SC5_SNa,-1.853,-2.251,13.30,-4.53,A,-0.062,8
CC1=CC(=CC1)C#N,SC5_SN0,-1.826,-2.665,13.15,NOT,A,0.516,8
FC1=CC(C=C)=CC1,SC5_SC4,-3.308,-4.08,12.88,NOT,A,0.45,8
FC1=CC(C=O)=CC1,SC5_SNa,-1.208,-2.251,11.54,-5.39,A,-0.062,8
FC1=CC(=CC1)C#N,SC5_SN0,-1.551,-2.665,11.40,NOT,A,0.516,8
Cc1cc(C=C)c[nH]1,SNd_SN0,-2.32,-1.604,18.13,NOT,N,-1.044,8
CC1=CC(=CO)C=N1,SN0_SNda,-1.318,-1.604,-0.94,12.57,Z,-12.506,8
Cc1cc(c[nH]1)C#N,SNd_SN0,-1.784,-1.604,15.54,NOT,A,-1.044,8
Nc1cc(C=C)c[nH]1,SP1_SN0,-0.892,-0.468,18.20,4.29,B,-1.534,8
Nc1cc(C=O)c[nH]1,SP1_SNa,-0.096,-0.055,15.23,3.69,B,-2.535,8
Nc1cc(c[nH]1)C#N,SP1_SN0,-0.577,-0.468,15.61,3.61,B,-1.534,8
Oc1cc(C=C)c[nH]1,SNda_SN0,-1.318,-1.604,9.02,-8.55,A,-1.133,8
OC=C1C=NC(O)=C1,SNda_SNda,-0.329,-1.19,3.72,4.99,A,-5.74,8
Oc1cc(c[nH]1)C#N,SNda_SN0,-0.975,-1.604,8.02,-9.09,A,-1.132,8
Fc1cc(C=C)c[nH]1,SNda_SN0,-2.1,-1.604,13.31,NOT,A,-1.133,8
OC=C1C=NC(F)=C1,SNda_SNa,-1.606,-1.19,3.76,1.49,A,-5.627,8
Fc1cc(c[nH]1)C#N,SNda_SN0,-1.826,-1.604,10.71,NOT,A,-1.133,8
Cc1cc(C=C)co1,SC5_SC5,-3.239,-3.313,NOT,-2.76,N,0.641,8
Cc1cc(C=O)co1,SC5_SNa,-0.92,-2.251,NOT,-2.94,N,-0.062,8
Cc1cc(co1)C#N,SC5_SN0,-1.62,-2.665,NOT,-2.89,N,0.516,8
Nc1cc(C=C)co1,SNd_SC5,-1.373,-2.251,19.58,-2.69,N,0.024,8
